frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,747.0,217.0,,,745.0,206.0,,,718.0,205.0,628.0,216.0,677,262,,,653,382,,,653,484,490,294,521,317,566,404,613,458,555,516,575,570
1,745.0,222.0,,,747.0,211.0,,,721.0,211.0,618.0,217.0,678,267,,,655,382,,,657,478,489,289,527,317,568,415,612,466,555,513,574,575
2,747.0,227.0,,,749.0,219.0,,,720.0,214.0,616.0,214.0,682,264,,,659,385,,,660,478,491,290,532,318,564,412,615,472,563,512,569,579
3,746.0,228.0,,,747.0,219.0,,,716.0,214.0,614.0,215.0,683,267,,,662,392,,,660,491,506,299,550,327,564,420,615,472,558,518,572,576
4,747.0,228.0,,,748.0,220.0,,,718.0,215.0,615.0,212.0,683,267,,,662,392,,,659,487,508,298,551,327,566,419,616,473,558,518,571,577
5,748.0,223.0,,,746.0,214.0,,,718.0,212.0,626.0,208.0,679,261,,,655,396,,,653,509,479,279,514,305,556,390,608,448,543,500,577,570
6,748.0,224.0,,,746.0,214.0,,,718.0,212.0,623.0,204.0,678,261,,,653,393,,,653,506,480,278,515,306,554,386,606,451,539,492,576,571
7,747.0,223.0,,,746.0,213.0,,,717.0,212.0,623.0,206.0,676,261,,,651,394,,,652,504,478,281,513,307,555,393,606,450,542,504,576,571
8,746.0,225.0,,,745.0,214.0,,,716.0,211.0,627.0,212.0,672,259,,,646,393,,,652,508,473,274,500,300,561,386,603,442,551,495,575,562
9,745.0,224.0,,,744.0,213.0,,,714.0,210.0,625.0,211.0,670,259,,,645,392,,,650,506,475,275,501,301,561,386,602,440,550,495,576,565
10,744.0,225.0,,,743.0,213.0,,,713.0,210.0,623.0,212.0,669,259,,,644,394,,,649,508,472,273,500,298,558,388,601,441,549,498,574,566
11,743.0,224.0,,,741.0,213.0,,,712.0,210.0,622.0,212.0,666,258,,,642,392,,,647,503,471,273,497,297,560,387,601,435,552,505,572,564
12,742.0,225.0,,,741.0,213.0,,,710.0,209.0,623.0,211.0,664,257,,,641,393,,,648,506,472,272,496,296,562,388,601,434,553,507,572,564
13,741.0,225.0,,,740.0,214.0,,,710.0,209.0,621.0,210.0,663,255,,,640,391,,,645,504,470,269,494,292,562,386,601,426,555,506,573,559
14,741.0,224.0,,,740.0,212.0,,,708.0,208.0,621.0,208.0,662,255,,,640,392,,,645,505,471,269,495,293,561,385,599,430,554,504,573,562
15,742.0,223.0,,,740.0,211.0,,,709.0,207.0,621.0,207.0,663,255,,,640,391,,,644,503,471,270,496,295,560,387,598,436,553,504,573,564
16,742.0,222.0,,,740.0,211.0,,,710.0,206.0,621.0,206.0,663,253,,,640,390,,,644,503,471,269,494,293,562,386,598,429,556,507,574,563
17,742.0,221.0,,,740.0,209.0,,,709.0,204.0,623.0,203.0,662,253,,,639,391,,,644,505,473,268,495,293,563,387,597,433,556,507,576,565
18,743.0,219.0,,,742.0,208.0,,,711.0,202.0,622.0,201.0,663,252,,,640,390,,,644,505,475,265,498,291,559,384,595,429,556,506,579,562
