frame_id,barbell_x_min,barbell_y_min,barbell_x_max,barbell_y_max
0,428,388,857,552
1,428,388,856,553
2,428,388,856,553
3,427,389,857,553
4,427,389,856,553
5,427,389,856,553
6,427,390,856,553
7,427,390,855,554
8,427,390,855,553
9,427,390,854,554
10,427,390,854,554
11,426,390,854,554
12,426,390,854,555
13,426,391,854,555
14,426,391,854,555
15,426,391,853,555
16,426,391,853,555
17,426,391,852,555
18,426,391,852,555
19,426,391,852,555
20,426,391,853,555
21,426,391,852,555
22,426,390,853,555
23,426,390,852,554
24,425,390,853,554
25,425,390,852,554
26,426,390,852,554
27,425,390,852,553
28,425,390,853,553
29,426,390,853,553
30,425,390,853,553
31,425,390,853,553
32,425,391,853,553
33,425,391,854,553
34,425,390,853,553
35,425,390,853,552
36,425,390,853,553
37,425,390,853,552
38,425,390,853,552
39,425,390,853,552
40,425,390,853,552
41,425,390,854,552
42,425,390,854,552
43,425,390,854,552
44,425,390,854,553
45,425,390,854,553
46,425,390,853,553
47,425,390,853,553
48,425,390,853,554
49,425,390,853,554
50,425,390,853,554
51,425,390,853,554
52,425,390,853,554
53,425,390,854,554
54,425,390,854,554
55,424,389,854,554
56,424,389,854,554
57,424,388,853,553
58,423,387,852,552
59,423,386,851,551
60,421,384,850,549
61,421,382,848,546
62,420,378,847,543
63,419,376,848,541
64,417,359,849,534
65,416,354,850,533
66,414,350,851,526
67,412,348,848,520
68,411,347,846,515
69,410,346,845,511
70,410,342,847,502
71,410,341,848,499
72,408,335,848,491
73,407,333,848,488
74,410,331,848,483
75,411,327,848,478
76,409,322,848,472
77,409,319,846,467
78,420,316,845,462
79,418,313,844,456
80,407,310,844,450
81,413,306,844,445
82,414,300,844,440
83,410,297,844,439
84,420,294,844,436
85,416,291,843,430
86,413,291,843,429
87,409,289,843,426
88,397,288,842,424
89,391,287,842,423
90,389,286,842,423
91,386,285,842,423
92,386,284,844,423
93,386,284,845,424
94,386,285,847,424
95,389,285,849,425
96,388,285,850,425
97,387,286,851,425
98,386,284,851,425
99,385,284,851,424
100,384,285,851,424
101,383,284,851,424
102,383,283,851,424
103,383,282,850,424
104,383,282,850,425
105,383,283,850,426
106,384,284,851,427
107,385,283,851,428
108,386,282,852,428
109,386,281,852,427
110,386,280,852,426
111,385,278,851,425
112,384,276,850,425
113,384,275,850,426
