frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,773,347,,,777,333,,,754,314,686,332,694,350,,,669,461,,,661,541,526,366,529,376,629,467,640,482,627.0,571.0,632.0,595.0
1,773,347,,,778,333,,,755,313,687,331,694,349,,,669,461,,,663,540,527,366,529,376,629,466,639,482,627.0,572.0,633.0,596.0
2,773,347,,,778,333,,,755,313,687,331,694,349,,,669,461,,,663,541,527,366,529,376,629,465,639,482,627.0,571.0,632.0,595.0
3,773,347,,,778,333,,,755,313,687,331,694,349,,,669,460,,,663,539,527,366,529,376,630,465,639,482,627.0,571.0,633.0,595.0
4,773,347,,,777,333,,,754,313,687,330,694,349,,,669,461,,,662,539,527,366,529,376,632,468,641,483,625.0,574.0,631.0,598.0
5,773,347,,,777,333,,,755,314,687,330,694,350,,,669,461,,,662,538,527,365,529,376,633,467,642,483,626.0,574.0,633.0,598.0
6,774,347,,,778,333,,,755,314,687,331,694,349,,,669,461,,,662,537,528,366,529,376,633,467,642,483,626.0,574.0,633.0,597.0
7,774,347,,,778,333,,,755,314,687,331,694,350,,,669,461,,,661,538,528,366,529,376,633,468,643,483,626.0,575.0,632.0,597.0
8,774,347,,,778,333,,,755,314,687,331,694,349,,,669,461,,,662,537,528,365,530,375,633,467,642,482,626.0,574.0,632.0,597.0
9,774,347,,,778,333,,,755,314,687,330,694,349,,,669,460,,,662,535,528,365,530,375,633,467,642,483,626.0,574.0,632.0,597.0
10,774,347,,,778,333,,,755,314,686,330,694,349,,,670,461,,,662,536,528,365,530,376,634,468,643,483,626.0,575.0,633.0,598.0
11,774,346,,,778,333,,,756,314,686,329,695,350,,,669,462,,,663,538,527,364,529,376,631,467,641,484,626.0,573.0,632.0,598.0
12,774,347,,,778,333,,,755,314,687,330,695,350,,,670,461,,,662,536,528,364,530,376,632,467,642,483,626.0,574.0,633.0,598.0
13,774,347,,,778,333,,,755,314,686,329,695,350,,,669,461,,,663,535,527,365,530,376,631,467,641,483,626.0,574.0,633.0,598.0
14,774,347,,,778,333,,,755,314,686,329,695,350,,,669,461,,,663,536,527,365,530,376,631,467,641,483,626.0,574.0,632.0,598.0
15,774,347,,,778,333,,,756,314,686,328,695,350,,,669,461,,,663,536,527,365,530,376,631,468,641,484,626.0,575.0,633.0,599.0
16,773,347,,,778,334,,,755,314,685,329,694,350,,,669,461,,,662,537,527,365,530,376,631,467,641,483,626.0,574.0,633.0,598.0
17,773,347,,,778,334,,,755,314,685,329,694,351,,,669,461,,,662,535,527,365,530,377,630,468,642,484,626.0,574.0,632.0,599.0
18,775,346,,,779,333,,,756,313,685,328,695,349,,,669,462,,,662,529,525,361,528,373,633,466,643,484,627.0,571.0,634.0,598.0
19,774,347,,,778,334,,,755,314,685,330,694,350,,,669,461,,,662,538,526,365,530,377,630,468,642,484,626.0,574.0,632.0,600.0
