frame_id,person_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,"tensor([136.5514, 249.2666])","tensor([149.7236, 236.3204])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,"tensor([136.2058, 243.6993])","tensor([149.6507, 231.1118])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,"tensor([129.8185, 229.7474])","tensor([142.9687, 216.8114])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,"tensor([127.8594, 216.1259])","tensor([141.8955, 203.4349])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,"tensor([129.9557, 201.2512])","tensor([143.3746, 187.7654])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,"tensor([128.2223, 183.6910])","tensor([141.3755, 170.2203])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,"tensor([126.8535, 165.9327])","tensor([139.5507, 153.1472])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,"tensor([124.7027, 148.5955])","tensor([138.3478, 135.4648])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,"tensor([124.7651, 131.6839])","tensor([138.8433, 118.3339])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,"tensor([128.7441, 116.1906])","tensor([143.8875, 102.8187])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,"tensor([131.5318, 101.8778])","tensor([146.6275,  88.6317])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,"tensor([133.3024,  91.6099])","tensor([147.8072,  78.5143])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,"tensor([139.9878,  76.0258])","tensor([155.4803,  62.6917])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,"tensor([143.7971,  70.9526])","tensor([158.4918,  57.6362])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,"tensor([147.2034,  67.9445])","tensor([161.3303,  54.2431])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
